key,value,is_todo,provenance
case_study.repo,gerbil (github.com/tryhamster/gerbil),0,read-only git mining session 2026-08-25; commands recorded per block below
case_study.mined_on,2026-08-25,0,read-only git mining session 2026-08-25; commands recorded per block below
case_study.head_branch,docs/paper-two-column,0,read-only git mining session 2026-08-25; commands recorded per block below
corpus.paper_maintenance_commits,41,0,"git log --format='%H|%ad|%s' --date=short -- paper/ docs/gpu-engine/paper.md docs/research-paper-plan.md docs/paper-ablation-plan.md (HEAD-only; --all gives 47). Caveat: the 4 earliest commits (2026-03-11/12) are engine feat: commits touching the engineering reference doc, not the LaTeX paper; the LaTeX paper begins 2026-06-23 (f6ef90a)."
corpus.first_commit_date,2026-03-11,0,"git log --format='%H|%ad|%s' --date=short -- paper/ docs/gpu-engine/paper.md docs/research-paper-plan.md docs/paper-ablation-plan.md (HEAD-only; --all gives 47). Caveat: the 4 earliest commits (2026-03-11/12) are engine feat: commits touching the engineering reference doc, not the LaTeX paper; the LaTeX paper begins 2026-06-23 (f6ef90a)."
corpus.last_commit_date,2026-08-10,0,"git log --format='%H|%ad|%s' --date=short -- paper/ docs/gpu-engine/paper.md docs/research-paper-plan.md docs/paper-ablation-plan.md (HEAD-only; --all gives 47). Caveat: the 4 earliest commits (2026-03-11/12) are engine feat: commits touching the engineering reference doc, not the LaTeX paper; the LaTeX paper begins 2026-06-23 (f6ef90a)."
corpus.commits_all_branches,47,0,"git log --format='%H|%ad|%s' --date=short -- paper/ docs/gpu-engine/paper.md docs/research-paper-plan.md docs/paper-ablation-plan.md (HEAD-only; --all gives 47). Caveat: the 4 earliest commits (2026-03-11/12) are engine feat: commits touching the engineering reference doc, not the LaTeX paper; the LaTeX paper begins 2026-06-23 (f6ef90a)."
corpus.earliest_eng_reference_feat_commits,4,0,"git log --format='%H|%ad|%s' --date=short -- paper/ docs/gpu-engine/paper.md docs/research-paper-plan.md docs/paper-ablation-plan.md (HEAD-only; --all gives 47). Caveat: the 4 earliest commits (2026-03-11/12) are engine feat: commits touching the engineering reference doc, not the LaTeX paper; the LaTeX paper begins 2026-06-23 (f6ef90a)."
corpus.latex_paper_first_commit_date,2026-06-23,0,"git log --format='%H|%ad|%s' --date=short -- paper/ docs/gpu-engine/paper.md docs/research-paper-plan.md docs/paper-ablation-plan.md (HEAD-only; --all gives 47). Caveat: the 4 earliest commits (2026-03-11/12) are engine feat: commits touching the engineering reference doc, not the LaTeX paper; the LaTeX paper begins 2026-06-23 (f6ef90a)."
commit_timeline.rows[0].date,2026-03-11,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
